codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_dia,ocorrencia_hora,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_tipo,localizacao
36365,INCIDENTE,RIO BRANCO,AC,10/04/2008,13:45:00,1,NÃO,OUTROS,RIO BRANCO - AC
36363,INCIDENTE,SÃO PAULO,SP,16/01/2008,17:50:00,1,NÃO,COLISÃO COM AVE,SÃO PAULO - SP
36361,INCIDENTE,JUNDIAÍ,SP,02/03/2008,11:30:00,1,SIM,PERDA DE CONTROLE NO SOLO,JUNDIAÍ - SP
36359,INCIDENTE,SÃO PAULO,SP,02/03/2008,15:58:00,1,NÃO,FALHA DO MOTOR EM VOO,SÃO PAULO - SP
36358,INCIDENTE,BRAGANÇA PAULISTA,SP,23/03/2008,14:00:00,1,NÃO,COLISÃO COM AERONAVE NO SOLO,BRAGANÇA PAULISTA - SP
36357,INCIDENTE,MANAUS,AM,19/03/2008,13:30:00,1,NÃO,OUTROS,MANAUS - AM
36355,INCIDENTE,JUNDIAÍ,SP,08/03/2008,11:00:00,1,SIM,PERDA DE CONTROLE NO SOLO,JUNDIAÍ - SP
36354,INCIDENTE,SÃO PAULO,SP,25/04/2008,15:40:00,1,NÃO,POUSO EM LOCAL NÃO PREVISTO,SÃO PAULO - SP
36353,INCIDENTE,MANAUS,AM,14/03/2008,09:45:00,1,NÃO,COM PARA-BRISAS / JANELA / PORTA,MANAUS - AM
36352,INCIDENTE,SOROCABA,SP,23/06/2008,00:45:00,1,NÃO,COM TREM DE POUSO,SOROCABA - SP
36348,INCIDENTE,SOROCABA,SP,12/07/2008,20:25:00,1,NÃO,POUSO SEM TREM,SOROCABA - SP
36346,INCIDENTE GRAVE,GOIÂNIA,GO,08/10/2008,21:05:00,1,NÃO,FALHA DO MOTOR EM VOO,GOIÂNIA - GO
36345,INCIDENTE,SÃO PAULO,SP,19/07/2008,18:30:00,1,NÃO,COLISÃO COM OBSTÁCULOS NO SOLO,SÃO PAULO - SP
36343,INCIDENTE,RIBEIRÃO PRETO,SP,20/08/2008,13:45:00,1,NÃO,COLISÃO COM AVE,RIBEIRÃO PRETO - SP
36341,INCIDENTE,GOIÂNIA,GO,01/06/2008,15:08:00,1,NÃO,COM TREM DE POUSO,GOIÂNIA - GO
36339,INCIDENTE,SÃO PAULO,SP,24/05/2008,19:50:00,1,NÃO,COLISÃO COM AVE,SÃO PAULO - SP
36338,INCIDENTE,DIAMANTINO,MT,15/08/2008,20:00:00,1,NÃO,COM HÉLICE,DIAMANTINO - MT
36337,INCIDENTE,SÃO PAULO,SP,25/08/2008,19:41:00,1,NÃO,ESTOURO DE PNEU,SÃO PAULO - SP
36336,INCIDENTE,BRASÍLIA,DF,06/10/2008,21:20:00,1,NÃO,ESTOURO DE PNEU,BRASÍLIA - DF
